id;average_length;average_weight;habitat;ph_of_water;color;Gender;life_span
322;19.29 inches;17.04 kg;idlewater;6.5;Reddish_Orange;FALSE;5.7 years
323;7.87 inches;16.8 kg;slowmovingwaters;6.4;Black_and_Orange;TRUE;18.7 years
324;11.59 inches;13.63 kg;slowmovingwaters;7;Red_and_White_Bi_Color;TRUE;15.3 years
325;1.03 inches;11.68 kg;lakes;6.4;Red_and_White_Bi_Color;FALSE;9.1 years
326;14.99 inches;16.61 kg;slowmovingwaters;6.3;Orange;TRUE;7.2 years
327;11.61 inches;5.94 kg;lakes;6.7;Red_and_White_Bi_Color;TRUE;5.5 years
328;7.88 inches;2.98 kg;slowmovingwaters;6.9;Red_and_White_Bi_Color;FALSE;11.2 years
329;1.91 inches;6.78 kg;rivers;7;Black_and_Orange;FALSE;10 years
330;8.24 inches;9.02 kg;slowmovingwaters;6.3;Green_and_Chocolate;TRUE;25.1 years
331;9.97 inches;16.54 kg;lakes;7.4;Reddish_Orange;FALSE;3 years
332;1.26 inches;2.53 kg;slowmovingwaters;6.7;Orange;TRUE;2 years
333;16.67 inches;4.59 kg;rivers;6.6;Yellow;FALSE;10.6 years
334;2.67 inches;7.73 kg;ponds;7.6;Black_and_Orange;FALSE;16.3 years
335;10.61 inches;13.71 kg;slowmovingwaters;6.9;Orange;FALSE;16.1 years
336;15.07 inches;11.48 kg;ponds;7.4;Calico;FALSE;24 years
337;3.1 inches;10.23 kg;rivers;7;Calico;TRUE;11.7 years
338;8.57 inches;10.03 kg;ponds;6.8;Red_and_White_Bi_Color;TRUE;21.6 years
339;1.11 inches;9.23 kg;idlewater;6.3;Reddish_Orange;FALSE;6.5 years
340;2.57 inches;9.86 kg;rivers;7.7;Red_and_Silver;FALSE;26.4 years
341;12.56 inches;10.64 kg;ponds;6.1;Calico;FALSE;10.9 years
342;6.17 inches;4.02 kg;idlewater;7.7;Black_and_Orange;TRUE;11.1 years
343;17.7 inches;8.65 kg;ponds;7.7;Green_and_Chocolate;FALSE;23.3 years
344;10.62 inches;13.57 kg;slowmovingwaters;6.9;Calico;FALSE;11.9 years
345;8.15 inches;10.5 kg;slowmovingwaters;7.6;Reddish_Orange;FALSE;11.6 years
346;18.15 inches;17.85 kg;rivers;7;White;FALSE;19.4 years
347;6.9 inches;12.53 kg;slowmovingwaters;7.6;White;TRUE;4.7 years
348;9.11 inches;2.61 kg;idlewater;6.1;Green_and_Chocolate;TRUE;10.4 years
349;19.73 inches;11.63 kg;idlewater;7.1;Green_and_Chocolate;FALSE;7.3 years
350;14.22 inches;6.49 kg;rivers;6.5;Black_and_Orange;FALSE;6.4 years
351;9.29 inches;11.57 kg;ponds;7.1;Red_and_Silver;FALSE;1.3 years
352;2.78 inches;11.14 kg;slowmovingwaters;6.1;Black_and_Orange;FALSE;27.6 years
353;15.8 inches;8.29 kg;lakes;7;Reddish_Orange;TRUE;4 years
354;14.77 inches;18.18 kg;lakes;6;White;TRUE;12.8 years
355;19.67 inches;14.79 kg;lakes;6.7;Red_and_Silver;FALSE;1.9 years
356;18.42 inches;10.75 kg;slowmovingwaters;6.8;Yellow;FALSE;19.6 years
357;18.94 inches;11.5 kg;rivers;6.4;Red_and_Silver;FALSE;24.5 years
358;3.38 inches;16.38 kg;lakes;7.5;Calico;TRUE;20 years
359;3.82 inches;13.48 kg;lakes;6.7;Calico;FALSE;27.3 years
360;15.09 inches;3.86 kg;lakes;7.2;Red_and_Silver;FALSE;10.9 years
361;17.54 inches;15.03 kg;lakes;6.2;Yellow;TRUE;11.8 years
362;1.4 inches;12.33 kg;idlewater;7.3;Yellow;TRUE;11 years
363;19.04 inches;16.92 kg;rivers;7.9;Calico;TRUE;1.1 years
364;3.35 inches;7.88 kg;slowmovingwaters;6.1;Red_and_Silver;FALSE;1.3 years
365;6.56 inches;17.05 kg;lakes;6.3;White;FALSE;7.7 years
366;15.54 inches;2.04 kg;ponds;7.7;Yellow;TRUE;8.1 years
367;8.32 inches;13.44 kg;rivers;7.5;White;TRUE;10.9 years
368;18.19 inches;14.74 kg;rivers;7.6;Red_and_Silver;FALSE;26.6 years
369;14.53 inches;5.29 kg;lakes;6.1;Calico;FALSE;24.5 years
370;11.72 inches;5.3 kg;lakes;7.4;Red_and_White_Bi_Color;FALSE;2.9 years
371;7.4 inches;14.52 kg;slowmovingwaters;7.1;Red_and_Silver;TRUE;11.9 years
372;16.63 inches;4.28 kg;slowmovingwaters;6;Red_and_White_Bi_Color;FALSE;20.7 years
373;2.13 inches;15.79 kg;rivers;6.9;Red_and_Silver;TRUE;22.8 years
374;3.13 inches;16.89 kg;rivers;7.7;Calico;TRUE;26 years
375;4.27 inches;10.19 kg;lakes;7.2;Yellow;TRUE;6.1 years
376;3.92 inches;11.64 kg;ponds;6.5;Yellow;FALSE;21 years
377;11.35 inches;3.14 kg;lakes;7.3;Orange;FALSE;27.5 years
378;16.54 inches;4.98 kg;idlewater;7.1;Yellow;FALSE;1.6 years
379;7.9 inches;14.78 kg;ponds;6.7;Red_and_White_Bi_Color;TRUE;24.4 years
380;10.66 inches;5.35 kg;idlewater;7.9;Green_and_Chocolate;FALSE;18 years
381;15.32 inches;17.32 kg;rivers;7.6;Calico;FALSE;27.5 years
382;5.95 inches;7.7 kg;idlewater;7.8;Green_and_Chocolate;FALSE;22.1 years
383;6.76 inches;4.82 kg;lakes;7.5;Black_and_Orange;FALSE;3.4 years
384;9.18 inches;16.59 kg;ponds;6.7;Black_and_Orange;FALSE;16 years
385;4.75 inches;8.97 kg;ponds;6;Green_and_Chocolate;TRUE;16.6 years
386;9.8 inches;10.71 kg;slowmovingwaters;7.2;Green_and_Chocolate;FALSE;15 years
387;14.94 inches;4.82 kg;ponds;7.6;White;FALSE;6.3 years
388;14.95 inches;4.48 kg;slowmovingwaters;7.1;Black_and_Orange;TRUE;3.9 years
389;3.22 inches;6.98 kg;slowmovingwaters;6.9;Reddish_Orange;FALSE;1.6 years
390;15.17 inches;9.34 kg;slowmovingwaters;6.9;Red_and_White_Bi_Color;FALSE;25.2 years
391;19.46 inches;9.59 kg;rivers;6.5;Yellow;FALSE;19.2 years
392;12.68 inches;18.32 kg;idlewater;7.6;Green_and_Chocolate;TRUE;13.8 years
393;4.13 inches;16.12 kg;idlewater;7.1;Calico;FALSE;6.3 years
394;13.89 inches;2.17 kg;slowmovingwaters;7.1;White;FALSE;5.4 years
395;12.88 inches;13.72 kg;rivers;6.1;Black_and_Orange;FALSE;19.8 years
396;15.59 inches;6.97 kg;idlewater;7.4;White;FALSE;3.4 years
397;6.94 inches;8.93 kg;lakes;7.9;Orange;FALSE;8.7 years
398;14.56 inches;16.93 kg;lakes;7.3;Yellow;TRUE;17.8 years
399;12.59 inches;8.58 kg;ponds;6.3;White;FALSE;22.1 years
400;18.63 inches;8.75 kg;slowmovingwaters;6.5;Calico;TRUE;2.3 years
401;14.6 inches;5.19 kg;lakes;6.4;Orange;TRUE;16.3 years
402;1.83 inches;7.74 kg;rivers;7.3;Reddish_Orange;TRUE;11.7 years
403;13.25 inches;16.04 kg;slowmovingwaters;6.1;Yellow;FALSE;7.1 years
404;9.51 inches;3.02 kg;rivers;6.9;Red_and_White_Bi_Color;TRUE;2.7 years
405;1.42 inches;6.59 kg;lakes;7.8;Green_and_Chocolate;FALSE;10.4 years
406;9.67 inches;13.61 kg;rivers;7.6;Black_and_Orange;FALSE;19.2 years
407;3.7 inches;8.24 kg;slowmovingwaters;7.3;White;TRUE;25.6 years
408;9.3 inches;10.54 kg;ponds;7.3;Reddish_Orange;TRUE;21.9 years
409;2.13 inches;18.68 kg;slowmovingwaters;7.5;Green_and_Chocolate;TRUE;17.3 years
410;3.8 inches;11.79 kg;ponds;7.2;Red_and_Silver;FALSE;27.4 years
411;11.12 inches;7.72 kg;ponds;7.3;Orange;FALSE;14.9 years
412;19.26 inches;4.06 kg;rivers;6.4;Orange;TRUE;20 years
413;18.96 inches;7.51 kg;idlewater;7.7;Red_and_Silver;TRUE;7.5 years
414;5.74 inches;5.05 kg;lakes;6.7;Calico;FALSE;23.4 years
415;11.53 inches;12.96 kg;lakes;6.1;Red_and_Silver;FALSE;17.1 years
416;8.93 inches;2.16 kg;ponds;7.8;White;FALSE;15.9 years
417;1.57 inches;15.83 kg;ponds;6.6;Calico;FALSE;9.4 years
418;13.99 inches;3.09 kg;rivers;6;Black_and_Orange;TRUE;8.6 years
419;10.03 inches;15.13 kg;slowmovingwaters;6.1;Yellow;FALSE;24.5 years
420;5.83 inches;15.57 kg;lakes;6.2;Yellow;TRUE;5.6 years
421;6.66 inches;7.29 kg;rivers;6.2;White;TRUE;16.3 years
422;17 inches;17.28 kg;lakes;7.2;Reddish_Orange;FALSE;19.5 years
423;3.25 inches;2.67 kg;slowmovingwaters;6.1;White;FALSE;21.5 years
424;10.47 inches;9.32 kg;lakes;7.7;Yellow;TRUE;15.6 years
425;18.73 inches;4.15 kg;slowmovingwaters;7.5;Black_and_Orange;TRUE;25.1 years
426;3.54 inches;18.11 kg;lakes;7.2;Calico;TRUE;1.3 years
427;3.79 inches;5.2 kg;ponds;7.5;Red_and_White_Bi_Color;FALSE;13.7 years
428;9.46 inches;18.45 kg;idlewater;6.1;Green_and_Chocolate;TRUE;14.4 years
429;16.98 inches;18.82 kg;rivers;6.5;Orange;FALSE;21.6 years
430;14.02 inches;17.89 kg;rivers;6.6;Red_and_White_Bi_Color;TRUE;6.1 years
431;5.11 inches;10.69 kg;slowmovingwaters;7.9;Black_and_Orange;FALSE;20.9 years
432;12.19 inches;12.69 kg;lakes;6.9;White;FALSE;18.3 years
433;6.04 inches;18.27 kg;lakes;6.5;Red_and_White_Bi_Color;FALSE;27.3 years
434;9.11 inches;17.25 kg;rivers;6.9;Green_and_Chocolate;FALSE;16 years
435;5.47 inches;5.56 kg;ponds;7.3;Black_and_Orange;FALSE;20.4 years
436;6.95 inches;4.51 kg;slowmovingwaters;7.1;Green_and_Chocolate;FALSE;27.4 years
437;10.17 inches;8.37 kg;slowmovingwaters;6.6;Yellow;TRUE;9.1 years
438;5.57 inches;3.96 kg;ponds;6.6;Black_and_Orange;FALSE;8.8 years
439;19.62 inches;12.76 kg;slowmovingwaters;6.8;Red_and_Silver;FALSE;20.1 years
440;9.82 inches;6.56 kg;rivers;7.3;Green_and_Chocolate;FALSE;8.1 years
441;18.55 inches;5.08 kg;lakes;7.1;Orange;TRUE;4 years
442;10.73 inches;18.64 kg;ponds;7.5;Yellow;TRUE;26.8 years
443;1.46 inches;11.21 kg;lakes;7.9;Calico;TRUE;25.8 years
444;15.67 inches;17.78 kg;lakes;6.2;Red_and_White_Bi_Color;FALSE;18.9 years
445;12.61 inches;17.14 kg;rivers;7.9;Orange;FALSE;26.4 years
446;18.41 inches;14.78 kg;slowmovingwaters;7.1;Green_and_Chocolate;TRUE;3 years
447;2.04 inches;8.38 kg;idlewater;7.2;Green_and_Chocolate;FALSE;8.9 years
448;5.08 inches;2.89 kg;ponds;6.5;Orange;FALSE;20.9 years
449;16.07 inches;16.67 kg;idlewater;7.9;Green_and_Chocolate;TRUE;2.1 years
450;17.95 inches;18.18 kg;lakes;6;Red_and_White_Bi_Color;TRUE;7.5 years
451;8.13 inches;16.75 kg;idlewater;6.2;Orange;FALSE;17.2 years
452;9.78 inches;3.66 kg;lakes;7.6;Yellow;FALSE;26.1 years
453;16.72 inches;18.02 kg;idlewater;6.1;Green_and_Chocolate;FALSE;23.4 years
454;2.73 inches;3.33 kg;slowmovingwaters;6.5;Black_and_Orange;TRUE;19.2 years
455;11.03 inches;5.92 kg;lakes;6.5;Yellow;FALSE;23 years
456;5.48 inches;8.35 kg;slowmovingwaters;6.6;Green_and_Chocolate;TRUE;11.8 years
457;2.75 inches;3.3 kg;ponds;6.3;Green_and_Chocolate;FALSE;2.9 years
458;14.86 inches;17.49 kg;ponds;7.8;Orange;FALSE;3.1 years
459;5.71 inches;5.79 kg;idlewater;6.9;Yellow;FALSE;6 years
460;11.39 inches;14.56 kg;idlewater;6.1;White;FALSE;8.2 years
461;17.79 inches;15.59 kg;idlewater;7.3;Reddish_Orange;FALSE;21.9 years
462;5.75 inches;9.23 kg;ponds;7.4;Calico;TRUE;2.7 years
463;10.28 inches;4.04 kg;idlewater;6;Orange;FALSE;19.5 years
464;8.2 inches;10.71 kg;rivers;8;Yellow;TRUE;23.4 years
465;3.76 inches;8.7 kg;lakes;6.9;Yellow;TRUE;5.4 years
466;19.79 inches;8.43 kg;idlewater;6.6;Calico;TRUE;26 years
467;10.57 inches;18.33 kg;lakes;6.5;Yellow;TRUE;4.3 years
468;10.29 inches;9.47 kg;lakes;6.5;Red_and_Silver;TRUE;5.8 years
469;4.82 inches;9.66 kg;lakes;7.1;Green_and_Chocolate;TRUE;20.9 years
470;1.21 inches;18.79 kg;lakes;6.6;Orange;FALSE;27.7 years
471;14.44 inches;10.39 kg;rivers;7.3;Reddish_Orange;FALSE;19.8 years
472;9.26 inches;18.75 kg;ponds;7.8;Reddish_Orange;TRUE;14.9 years
473;13.9 inches;9.07 kg;slowmovingwaters;7.8;Black_and_Orange;TRUE;4.6 years
474;13.71 inches;7.33 kg;idlewater;6.9;Green_and_Chocolate;TRUE;23.3 years
475;19.01 inches;13.93 kg;idlewater;7.1;Yellow;FALSE;25.3 years
476;16.68 inches;14.96 kg;ponds;7.9;Calico;FALSE;15.2 years
477;1.91 inches;18.15 kg;slowmovingwaters;6.7;Red_and_White_Bi_Color;FALSE;21.3 years
478;3.88 inches;8.4 kg;ponds;7.6;Green_and_Chocolate;FALSE;22 years
479;15.44 inches;2.86 kg;idlewater;6.7;White;TRUE;16.2 years
480;14.77 inches;12.16 kg;ponds;7.1;Calico;FALSE;23.2 years
481;19.76 inches;12.04 kg;slowmovingwaters;6.3;Red_and_White_Bi_Color;TRUE;24.5 years
482;18.58 inches;9.41 kg;slowmovingwaters;7.4;White;TRUE;14.8 years
483;2.32 inches;9.02 kg;slowmovingwaters;7.2;Yellow;TRUE;24.1 years
484;13.66 inches;3.41 kg;ponds;6.6;Black_and_Orange;FALSE;13.7 years
485;8.78 inches;18.31 kg;rivers;6.7;Green_and_Chocolate;FALSE;2.5 years
486;15.98 inches;4.36 kg;slowmovingwaters;6.7;Orange;TRUE;11.6 years
487;2.67 inches;10.74 kg;ponds;6.1;Orange;FALSE;13 years
488;18.3 inches;11.06 kg;ponds;7.7;Green_and_Chocolate;TRUE;18.9 years
489;11.58 inches;18.74 kg;slowmovingwaters;6.6;Orange;TRUE;3.2 years
490;4.17 inches;8.06 kg;ponds;8;Yellow;FALSE;2.2 years
491;2.9 inches;6.13 kg;ponds;7.5;Black_and_Orange;FALSE;18.9 years
492;14.26 inches;15.43 kg;lakes;6.1;Orange;FALSE;17 years
493;17.01 inches;7.56 kg;ponds;6.8;Red_and_Silver;FALSE;27.9 years
494;14.17 inches;10.59 kg;ponds;7.5;Black_and_Orange;FALSE;16.8 years
495;18.87 inches;11.91 kg;ponds;7.7;Calico;FALSE;16 years
496;15.33 inches;17.13 kg;rivers;6.1;Red_and_Silver;TRUE;23.5 years
497;14.6 inches;16.92 kg;ponds;6.3;White;TRUE;5.3 years
498;9.47 inches;4.71 kg;slowmovingwaters;7.3;Yellow;FALSE;10 years
499;19.97 inches;15.96 kg;ponds;7.2;Calico;FALSE;1.3 years
500;17.1 inches;16.93 kg;slowmovingwaters;6.8;Reddish_Orange;TRUE;16.5 years
501;18.54 inches;9.49 kg;ponds;7;Red_and_White_Bi_Color;FALSE;5.2 years
502;1.29 inches;5.84 kg;idlewater;6.3;Green_and_Chocolate;FALSE;26.3 years
503;10.32 inches;13.38 kg;idlewater;7.4;Red_and_Silver;TRUE;22.7 years
504;14.12 inches;11.57 kg;idlewater;6.2;Black_and_Orange;TRUE;11.6 years
505;15.5 inches;15.86 kg;idlewater;7;Yellow;TRUE;18.5 years
506;14.84 inches;15.26 kg;ponds;7.1;Red_and_White_Bi_Color;TRUE;6.8 years
507;7.37 inches;14.33 kg;ponds;7.7;Black_and_Orange;FALSE;15.1 years
508;2.8 inches;3.62 kg;slowmovingwaters;7.1;Yellow;FALSE;2 years
509;8.06 inches;8.61 kg;idlewater;7.1;Green_and_Chocolate;TRUE;15.9 years
510;17.97 inches;10.76 kg;lakes;7.3;Orange;FALSE;9.9 years
511;5.03 inches;7.23 kg;ponds;7.7;Yellow;FALSE;9.9 years
512;18.26 inches;14.5 kg;rivers;6.6;Calico;TRUE;9.7 years
513;1.11 inches;4.47 kg;rivers;7.2;Orange;FALSE;26.7 years
514;7.58 inches;5.68 kg;rivers;7.5;Calico;TRUE;15.2 years
515;18.45 inches;8.83 kg;rivers;7.2;Red_and_Silver;TRUE;7.7 years
516;3.27 inches;16.95 kg;lakes;6.4;Reddish_Orange;TRUE;22.1 years
517;13.23 inches;13.69 kg;ponds;6.2;White;FALSE;22.9 years
518;18.41 inches;13.23 kg;slowmovingwaters;7.7;Reddish_Orange;TRUE;19.2 years
519;13.11 inches;11.38 kg;lakes;7.6;Calico;FALSE;20.5 years
520;11.58 inches;3.26 kg;slowmovingwaters;7.1;Orange;FALSE;7.5 years
521;13.4 inches;8.97 kg;idlewater;7;Red_and_White_Bi_Color;TRUE;6.1 years
522;14.39 inches;3.32 kg;rivers;7.5;Yellow;TRUE;18.6 years
523;8.28 inches;18.84 kg;idlewater;7.4;Yellow;TRUE;18.8 years
524;4.96 inches;15.28 kg;lakes;7.3;Red_and_Silver;FALSE;2.8 years
525;12.63 inches;4.15 kg;ponds;6;Yellow;TRUE;16.7 years
526;2.25 inches;15.15 kg;lakes;7.1;Reddish_Orange;TRUE;11 years
527;13.56 inches;12.66 kg;slowmovingwaters;8;Calico;TRUE;24.4 years
528;17.06 inches;11.97 kg;slowmovingwaters;6.6;Black_and_Orange;TRUE;11.8 years
529;1.13 inches;6.09 kg;rivers;7.5;Orange;FALSE;9.4 years
530;6.38 inches;8.07 kg;slowmovingwaters;6.9;Reddish_Orange;FALSE;11.1 years
531;3.33 inches;5.63 kg;slowmovingwaters;7.5;Black_and_Orange;TRUE;21.6 years
532;9.99 inches;14.62 kg;rivers;7.2;Orange;TRUE;21.6 years
533;7.01 inches;8.26 kg;lakes;7.2;Green_and_Chocolate;FALSE;12.6 years
534;2.57 inches;13.8 kg;idlewater;6.4;Reddish_Orange;FALSE;19.8 years
535;10.54 inches;16.01 kg;slowmovingwaters;7.5;Orange;TRUE;7.4 years
536;18.25 inches;17.72 kg;idlewater;6.4;White;TRUE;4.9 years
537;7.74 inches;9.08 kg;lakes;6.4;Orange;TRUE;24.6 years
538;13.87 inches;3.39 kg;slowmovingwaters;6.1;Green_and_Chocolate;TRUE;21.9 years
539;9.86 inches;3.11 kg;idlewater;7.3;White;TRUE;18.9 years
540;8.44 inches;14.05 kg;lakes;6.7;Calico;TRUE;23.4 years
541;19.66 inches;2.77 kg;slowmovingwaters;6.2;White;TRUE;20 years
542;16.86 inches;9.54 kg;slowmovingwaters;6.3;Red_and_Silver;FALSE;1.6 years
543;7.92 inches;8.73 kg;rivers;6.7;White;FALSE;8.4 years
544;15.31 inches;11.57 kg;rivers;7.7;Reddish_Orange;TRUE;12.2 years
545;9.2 inches;10.12 kg;lakes;7.9;Calico;TRUE;14.7 years
546;3.23 inches;18.03 kg;ponds;7.6;Black_and_Orange;FALSE;15.5 years
547;11.96 inches;12.07 kg;slowmovingwaters;6.3;Red_and_Silver;TRUE;24.5 years
548;17.34 inches;11.95 kg;slowmovingwaters;6.2;Green_and_Chocolate;TRUE;27.1 years
549;1.19 inches;16.49 kg;lakes;7.2;Reddish_Orange;TRUE;17.3 years
550;16.17 inches;5.73 kg;lakes;7.2;Reddish_Orange;FALSE;19.4 years
551;2.04 inches;18.25 kg;rivers;6.8;Red_and_Silver;TRUE;19.2 years
552;16.27 inches;17.6 kg;ponds;7.5;White;FALSE;6.1 years
553;16.71 inches;2.01 kg;ponds;7.8;Red_and_White_Bi_Color;FALSE;6.2 years
554;6.49 inches;13.68 kg;slowmovingwaters;6.1;Red_and_White_Bi_Color;TRUE;12.6 years
555;19.04 inches;18.35 kg;idlewater;7.5;Red_and_Silver;FALSE;11.5 years
556;8.8 inches;2.08 kg;lakes;7.8;Orange;TRUE;17.4 years
557;12.89 inches;9.87 kg;slowmovingwaters;6.6;Orange;FALSE;11.2 years
558;3.42 inches;13.2 kg;lakes;7.5;Green_and_Chocolate;TRUE;5.4 years
559;12.9 inches;9.28 kg;ponds;7.7;Black_and_Orange;FALSE;21.8 years
560;1.3 inches;8.27 kg;lakes;7.3;Black_and_Orange;FALSE;27.9 years
561;10.35 inches;16.25 kg;rivers;7.8;Green_and_Chocolate;FALSE;14.2 years
562;14.46 inches;18.2 kg;ponds;6.3;White;TRUE;6.8 years
563;12.5 inches;7.48 kg;ponds;8;Orange;TRUE;19.2 years
564;19.2 inches;6.44 kg;lakes;7.9;Reddish_Orange;FALSE;4.8 years
565;4.95 inches;11.79 kg;ponds;7.2;Yellow;TRUE;25.5 years
566;9.63 inches;4.73 kg;rivers;6.1;Green_and_Chocolate;FALSE;8 years
567;19.04 inches;13.86 kg;rivers;7;Calico;FALSE;20.3 years
568;19.36 inches;16.84 kg;rivers;7.2;Calico;FALSE;23.4 years
569;9.51 inches;5.79 kg;ponds;6.1;Black_and_Orange;FALSE;9.2 years
570;14.36 inches;12.81 kg;lakes;7.7;Red_and_Silver;FALSE;1.9 years
571;2.77 inches;6.24 kg;ponds;7.2;Orange;TRUE;9.4 years
572;1.51 inches;11.04 kg;lakes;6.3;Calico;FALSE;18.7 years
573;14.97 inches;2.01 kg;slowmovingwaters;6.7;White;TRUE;21.8 years
574;8.03 inches;10.53 kg;rivers;7.5;Green_and_Chocolate;TRUE;19.6 years
575;1.52 inches;3.01 kg;idlewater;6.6;Yellow;TRUE;17.6 years
576;19.73 inches;11.53 kg;idlewater;7.4;Green_and_Chocolate;FALSE;23.9 years
577;9.09 inches;8.48 kg;slowmovingwaters;6.9;Orange;TRUE;2.1 years
578;6.28 inches;2.71 kg;lakes;6.5;Red_and_White_Bi_Color;FALSE;11.9 years
579;9.37 inches;12.3 kg;rivers;6.9;Green_and_Chocolate;FALSE;23.8 years
580;7.74 inches;12.17 kg;idlewater;6.4;Black_and_Orange;TRUE;9.3 years
581;3.42 inches;3.73 kg;ponds;6.3;Red_and_Silver;FALSE;9.6 years
582;14.53 inches;17.51 kg;rivers;7.6;Red_and_Silver;TRUE;19.9 years
583;13.6 inches;2.65 kg;ponds;7.8;Yellow;TRUE;16.8 years
584;2.09 inches;3.55 kg;ponds;6.9;Yellow;FALSE;15.6 years
585;13.28 inches;13.85 kg;lakes;7.6;Calico;TRUE;2.8 years
586;7.32 inches;9.1 kg;slowmovingwaters;6.8;Yellow;TRUE;17.5 years
587;3.52 inches;15.78 kg;idlewater;6.3;White;TRUE;17.4 years
588;14.31 inches;17.52 kg;slowmovingwaters;7.6;White;FALSE;13.9 years
589;8.68 inches;17.16 kg;lakes;6.6;Red_and_Silver;FALSE;26 years
590;1.6 inches;13.95 kg;idlewater;7.3;Calico;TRUE;10.9 years
591;10.35 inches;5.16 kg;slowmovingwaters;6.9;Red_and_White_Bi_Color;FALSE;2.2 years
592;19.53 inches;5.68 kg;rivers;8;Yellow;FALSE;19.1 years
593;17.3 inches;11.92 kg;rivers;6.4;Yellow;FALSE;24.5 years
594;12.17 inches;9.88 kg;idlewater;6.3;Yellow;FALSE;14.6 years
595;9.5 inches;6.22 kg;rivers;6.7;Red_and_White_Bi_Color;FALSE;5.9 years
596;5.09 inches;18.44 kg;rivers;7;Green_and_Chocolate;TRUE;12 years
597;14.65 inches;14.1 kg;lakes;7;Green_and_Chocolate;TRUE;21 years
598;14.58 inches;8.24 kg;lakes;7.4;Reddish_Orange;FALSE;11.5 years
599;13.36 inches;13.44 kg;ponds;6.4;Yellow;FALSE;13.4 years
600;9.18 inches;17.87 kg;slowmovingwaters;7.9;White;FALSE;7.9 years
601;16.55 inches;3.22 kg;lakes;6.7;Orange;FALSE;22.7 years
602;4.43 inches;14.97 kg;ponds;6.6;Reddish_Orange;FALSE;2.6 years
603;11.28 inches;16 kg;lakes;7;Reddish_Orange;FALSE;19.9 years
604;7.86 inches;13.06 kg;lakes;7.2;Red_and_Silver;TRUE;12.7 years
605;15.86 inches;16.41 kg;lakes;7;Black_and_Orange;TRUE;9.8 years
606;6.92 inches;8.2 kg;slowmovingwaters;6.8;Reddish_Orange;FALSE;9.9 years
607;17.4 inches;14.22 kg;ponds;7.9;Red_and_Silver;FALSE;25.6 years
608;11.5 inches;7.09 kg;lakes;6.1;White;TRUE;2.9 years
609;13.5 inches;4.79 kg;idlewater;7.8;Orange;TRUE;14.7 years
610;2.46 inches;18.8 kg;slowmovingwaters;7.4;Red_and_White_Bi_Color;FALSE;7.6 years
611;10.52 inches;9.23 kg;lakes;6.3;Green_and_Chocolate;FALSE;12.4 years
612;4.2 inches;17.86 kg;lakes;6.2;Black_and_Orange;TRUE;14.3 years
613;13.64 inches;10.92 kg;idlewater;7.5;White;TRUE;9.6 years
614;13.44 inches;2.22 kg;slowmovingwaters;7.8;Red_and_Silver;FALSE;11.1 years
615;7.33 inches;12.75 kg;lakes;7.7;Yellow;FALSE;27.4 years
616;17.11 inches;8.17 kg;rivers;6.3;White;FALSE;11.5 years
617;19.1 inches;15.85 kg;rivers;6.3;Yellow;FALSE;23.3 years
618;6.52 inches;13.48 kg;ponds;6.3;Red_and_Silver;TRUE;16.5 years
619;12.71 inches;7.68 kg;rivers;7.5;Yellow;FALSE;17.8 years
620;18.88 inches;8.42 kg;ponds;7.2;Yellow;FALSE;23.9 years
621;2.21 inches;11.07 kg;lakes;7.1;Green_and_Chocolate;TRUE;5.7 years
622;9.8 inches;6.74 kg;ponds;7.1;Red_and_White_Bi_Color;TRUE;15.2 years
623;8.49 inches;14.22 kg;rivers;7.8;Yellow;FALSE;9 years
624;14.64 inches;17.96 kg;idlewater;6.2;Calico;TRUE;11.5 years
625;9.63 inches;14.21 kg;lakes;7.8;Calico;TRUE;11.9 years
626;14.54 inches;3.95 kg;ponds;6.8;Yellow;FALSE;11.9 years
627;1.17 inches;17.4 kg;lakes;7.6;Black_and_Orange;TRUE;10 years
628;6.75 inches;16.69 kg;ponds;6.6;Green_and_Chocolate;FALSE;12.1 years
629;17.06 inches;15.82 kg;ponds;6.3;Green_and_Chocolate;TRUE;2.8 years
630;1.65 inches;10.8 kg;lakes;6.8;Green_and_Chocolate;FALSE;14.4 years
631;17.93 inches;12.16 kg;rivers;7.6;Reddish_Orange;TRUE;10.7 years
632;15.14 inches;5.91 kg;rivers;6.5;Black_and_Orange;FALSE;8.3 years
633;18.13 inches;10.12 kg;rivers;6.1;Black_and_Orange;FALSE;11.8 years
634;7.07 inches;3.53 kg;ponds;7.9;Red_and_Silver;TRUE;11.1 years
635;5.49 inches;3.35 kg;ponds;6.9;Black_and_Orange;TRUE;2.5 years
636;16.39 inches;10 kg;idlewater;7.2;Calico;FALSE;5.8 years
637;9.52 inches;14.34 kg;idlewater;6.2;Black_and_Orange;FALSE;2.2 years
638;3.27 inches;5.66 kg;slowmovingwaters;7;Green_and_Chocolate;TRUE;8.3 years
639;16.87 inches;4.63 kg;idlewater;6.4;Calico;FALSE;4 years
640;15.09 inches;16.04 kg;ponds;6.3;Green_and_Chocolate;TRUE;21.6 years
641;7.42 inches;8.85 kg;ponds;7.2;Calico;TRUE;3.5 years
642;6.15 inches;6.08 kg;idlewater;6;Reddish_Orange;FALSE;27.4 years
643;16.42 inches;13.71 kg;rivers;7.1;Green_and_Chocolate;TRUE;15.7 years
644;2.75 inches;18.47 kg;ponds;7.5;Orange;TRUE;3.3 years
