NM number	Gene name	Gene Family	Category	Expression Value - stimulus	Expression Value + stimulus
NM_0006951	CYP4V2	RIG-I like receptors	Immune system proteins	0.387	0.355
NM_0005588	F11	Serine/threonine-specific protein kinase	Signal transducing proteins	0.957	0.929
NM_0002485	SDHA	SNARE family	Transporters	0.175	0.186
NM_0001565	SLC6A19	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.175	0.161
NM_0003627	TERT	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.571	0.562
NM_0006639	MTRR	P300-CBP coactivator family	Regulatory protein gene families	0.831	0.818
NM_0003720	CCT5	Arf family	Signal transducing proteins	0.863	0.879
NM_0008381	DNAH5	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.84	0.89
NM_0001372	FAM134B	CDK inhibitors	Regulatory protein gene families	0.38	0.356
NM_0003249	SLC45A2	Rho family	Signal transducing proteins	0.668	0.721
NM_0005319	AMACR	Hox gene family	Regulatory protein gene families	0.605	0.634
NM_0003149	NIPBL	Rap family	Signal transducing proteins	0.546	0.516
NM_0007556	C5orf42	Monoamine transporter	Transporters	0.223	0.21
NM_0007116	GDNF	GABA transporter	Transporters	0.818	0.858
NM_0005592	LIFR	Ion channels	Transporters	0.653	0.622
NM_0001108	GHR	Myosin	Motor proteins	0.165	0.152
NM_0009340	HCN1	GABA transporter	Transporters	0.35	0.342
NM_0002936	HSPB3	Ion channels	Transporters	0.464	0.454
NM_0007801	ZSWIM6	Roundabout family	Transporters	0.338	0.345
NM_0004002	PIK3R1	Bacterial potassium transporter	Transporters	0.019	0.018
NM_0006949	MARVELD2	MAP Kinase	Signal transducing proteins	0.625	0.676
NM_0004126	MCCC2	Globin	Transporters	0.597	0.643
NM_0005096	AP3B1	Olfactory receptor	Signal transducing proteins	0.469	0.491
NM_0006042	ARSB	MAP Kinase	Signal transducing proteins	0.322	0.319
NM_0005077	VCAN	Peroxiredoxin	Signal transducing proteins	0.133	0.139
NM_0005510	RASA1	Solute carrier family	Transporters	0.508	0.478
NM_0001264	GPR98	Bacterial potassium transporter	Transporters	0.578	0.594
NM_0006391	WDR36	Nuclear receptor	Regulatory protein gene families	0.93	0.954
NM_0009433	APC	Rab family	Signal transducing proteins	0.775	0.807
NM_0004211	HSD17B4	Myosin	Motor proteins	0.245	0.232
NM_0006823	SNCAIP	Membrane-spanning 4A	Transporters	0.376	0.344
NM_0009402	ALDH7A1	14-3-3 protein family	Regulatory protein gene families	0.976	0.946
NM_0003626	MEGF10	Cyclins	Regulatory protein gene families	0.524	0.553
NM_0002498	FBN2	Heat shock proteins	Transporters	0.713	0.657
NM_0003539	SLC22A5	Pattern recognition receptor	Immune system proteins	0.86	0.813
NM_0001641	RAD50	G-proteins	Signal transducing proteins	0.024	0.025
NM_0006708	SIL1	CDK inhibitors	Regulatory protein gene families	0.253	0.239
NM_0003301	MATR3	Papain-like protease	Transporters	0.681	0.713
NM_0004439	HARS	Rap family	Signal transducing proteins	0.592	0.576
NM_0007822	SPINK1	Dynein	Motor proteins	0.319	0.3
NM_0002412	SPINK5	RIG-I like receptors	Immune system proteins	0.738	0.807
NM_0002337	SH3TC2	Kinesin	Motor proteins	0.236	0.247
NM_0002300	PDE6A	FH2 protein (formin) gene family	Transporters	0.239	0.251
NM_0002230	SLC26A2	FH2 protein (formin) gene family	Transporters	0.706	0.749
NM_0001784	PDGFRB	NOTCH2NL	Regulatory protein gene families	0.796	0.722
NM_0002616	TCOF1	Monoamine transporter	Transporters	0.008	0.007
NM_0008177	GM2A	FH2 protein (formin) gene family	Transporters	0.344	0.326
NM_0009924	GLRA1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.442	0.467
NM_0003744	ITK	Olfactory receptor	Signal transducing proteins	0.733	0.705
NM_0006952	NIPAL4	Fibroblast growth factors (FGF)	Transporters	0.815	0.747
NM_0004166	IL12B	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.96	0.89
NM_0001664	GABRA1	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.263	0.27
NM_0002887	NKX2-5	Glycine transporter	Transporters	0.977	0.934
NM_0004439	MSX2	Aquaporins	Transporters	0.862	0.792
NM_0005165	NSD1	Expansin gene family	Transporters	0.493	0.476
NM_0007760	F12	Peroxiredoxin	Signal transducing proteins	0.175	0.166
NM_0004866	PROP1	Monoamine transporter	Transporters	0.054	0.051
NM_0008922	GRM6	Serine/threonine-specific protein kinase	Signal transducing proteins	0.561	0.579
NM_0009773	ADAMTS2	SRC kinase family	Signal transducing proteins	0.331	0.32
NM_0007969	SQSTM1	Globin	Transporters	0.724	0.785
NM_0008275	FLT4	Heat shock proteins	Transporters	0.676	0.698
NM_0007799	FOXC1	Heat shock factor	Transporters	0.588	0.548
NM_0007482	SERPINB6	RIG-I like receptors	Immune system proteins	0.622	0.582
NM_0008834	TUBB2A	FH2 protein (formin) gene family	Transporters	0.393	0.374
NM_0006177	TUBB2B	Major facilitator superfamily	Transporters	0.987	0.962
NM_0006421	FARS2	Olfactory receptor	Signal transducing proteins	0.757	0.789
NM_0001455	DSP	Expansin gene family	Transporters	0.223	0.23
NM_0008593	DTNBP1	Ras family	Signal transducing proteins	0.463	0.494
NM_0008484	NHLRC1	Immunoglobulin superfamily	Immune system proteins	0.074	0.073
NM_0008191	ALDH5A1	Fibroblast growth factors (FGF)	Transporters	0.626	0.667
NM_0005918	HFE	CDK inhibitors	Regulatory protein gene families	0.116	0.108
NM_0009699	NEU1	Major histocompatibility complex (MHC)	Immune system proteins	0.732	0.773
NM_0001555	C2	Serine/threonine-specific protein kinase	Signal transducing proteins	0.527	0.503
NM_0004464	CFB	Pattern recognition receptor	Immune system proteins	0.503	0.48
NM_0008397	SKIV2L	General transcription factor	Regulatory protein gene families	0.263	0.238
NM_0001465	PSMB8	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.36	0.394
NM_0004140	TAP1	Peroxin	Transporters	0.468	0.504
NM_0003229	SYNGAP1	Heat shock proteins	Transporters	0.5	0.473
NM_0009007	FANCE	Monoamine transporter	Transporters	0.019	0.018
NM_0001758	TULP1	G-proteins	Signal transducing proteins	0.241	0.234
NM_0006622	PNPLA1	Transcription factors	Regulatory protein gene families	0.317	0.299
NM_0002317	TREM2	Aquaporins	Transporters	0.268	0.249
NM_0001048	GUCA1A	SNARE family	Transporters	0.72	0.739
NM_0009206	GUCA1B	NF-kB	Regulatory protein gene families	0.238	0.247
NM_0003008	PEX6	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.345	0.33
NM_0001703	PPP2R5D	Monoamine transporter	Transporters	0.506	0.478
NM_0005798	CUL7	Immunoglobulin superfamily	Immune system proteins	0.952	1.005
NM_0008217	POLR1C	Equilibrative nucleoside transporter family	Transporters	0.022	0.023
NM_0005623	POLH	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.813	0.791
NM_0003757	RSPH9	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.705	0.77
NM_0009547	AARS2	Hox gene family	Regulatory protein gene families	0.831	0.868
NM_0009916	RUNX2	DLX gene family	Regulatory protein gene families	0.823	0.885
NM_0006474	MUT	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.742	0.793
NM_0005431	PKHD1	Dynein	Motor proteins	0.871	0.839
NM_0004840	IL17F	Serine/threonine-specific protein kinase	Signal transducing proteins	0.516	0.5
NM_0006482	EFHC1	Transcription factors	Regulatory protein gene families	0.202	0.197
NM_0007244	RAB23	Heat shock proteins	Transporters	0.182	0.167
NM_0002262	EYS	DLX gene family	Regulatory protein gene families	0.105	0.113
NM_0002464	LMBRD1	Membrane-spanning 4A	Transporters	0.393	0.375
NM_0006461	COL9A1	RIG-I like receptors	Immune system proteins	0.614	0.568
NM_0004602	SLC17A5	Kinesin	Motor proteins	0.735	0.793
NM_0007401	COL12A1	ABC transporters	Transporters	0.401	0.426
NM_0002062	LCA5	Dynein	Motor proteins	0.824	0.762
NM_0002228	ELOVL4	Families containing homeobox domains	Regulatory protein gene families	0.201	0.198
NM_0004391	BCKDHB	CDK inhibitors	Regulatory protein gene families	0.258	0.278
NM_0002325	RARS2	General transcription factor	Regulatory protein gene families	0.123	0.125
NM_0005764	FBXL4	ABC transporters	Transporters	0.801	0.869
NM_0001291	PDSS2	Myosin	Motor proteins	0.873	0.807
NM_0002545	FIG4	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.01	0.01
NM_0002773	COL10A1	Peroxin	Transporters	0.095	0.098
NM_0003533	RSPH4A	Ras family	Signal transducing proteins	0.613	0.639
NM_0007665	PLN	Dynein	Motor proteins	0.071	0.076
NM_0009159	GJA1	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.768	0.781
NM_0008902	TRDN	Cyclin dependent kinases	Regulatory protein gene families	0.499	0.548
NM_0004879	LAMA2	Heat shock factor	Transporters	0.241	0.253
NM_0007688	ENPP1	Glycine transporter	Transporters	0.784	0.842
NM_0006846	EYA4	Globin	Transporters	0.044	0.045
NM_0001029	AHI1	Kinesin	Motor proteins	0.209	0.192
NM_0006135	PEX7	14-3-3 protein family	Regulatory protein gene families	0.752	0.717
NM_0007099	IFNGR1	Glutamate transporter	Transporters	0.055	0.052
NM_0008569	STX11	Protocadherin gene family	Transporters	0.258	0.27
NM_0003260	EPM2A	Fibroblast growth factors (FGF)	Transporters	0.294	0.298
NM_0008819	ARID1B	Expansin gene family	Transporters	0.679	0.694
NM_0005922	PLG	SNARE family	Transporters	0.917	0.949
NM_0001974	PARK2	Hox gene family	Regulatory protein gene families	0.662	0.639
NM_0003105	HEATR2	Cyclin dependent kinases	Regulatory protein gene families	0.792	0.753
NM_0003337	ACTB	SOX gene family	Regulatory protein gene families	0.693	0.714
NM_0006193	PMS2	Rap family	Signal transducing proteins	0.651	0.602
NM_0009942	ISPD	Ion channels	Transporters	0.039	0.043
NM_0008742	DNAH11	Membrane-spanning 4A	Transporters	0.848	0.798
NM_0003284	DFNA5	MADS-box gene family	Regulatory protein gene families	0.935	0.97
NM_0003705	GARS	Nuclear receptor	Regulatory protein gene families	0.961	1.052
NM_0009624	GHRHR	Monoamine transporter	Transporters	0.181	0.188
NM_0008080	RP9	Cyclins	Regulatory protein gene families	0.702	0.652
NM_0007801	BBS9	MAP Kinase	Signal transducing proteins	0.246	0.223
NM_0008036	NME8	MAP Kinase	Signal transducing proteins	0.42	0.383
NM_0006497	GLI3	DLX gene family	Regulatory protein gene families	0.182	0.189
NM_0004596	PGAM2	Kinesin	Motor proteins	0.072	0.078
NM_0007596	GCK	Fibroblast growth factor receptors (FGFR)	Transporters	0.066	0.072
NM_0008358	CCM2	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.46	0.481
NM_0004322	DDC	RIG-I like receptors	Immune system proteins	0.027	0.03
NM_0003491	EGFR	Serine/threonine-specific protein kinase	Signal transducing proteins	0.688	0.742
NM_0004756	GUSB	Equilibrative nucleoside transporter family	Transporters	0.991	0.966
NM_0003916	ASL	Major histocompatibility complex (MHC)	Immune system proteins	0.245	0.25
NM_0007429	KCTD7	CDK inhibitors	Regulatory protein gene families	0.584	0.534
NM_0008717	SBDS	Aquaporins	Transporters	0.076	0.072
NM_0004513	HSPB1	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.721	0.706
NM_0009801	HGF	Major facilitator superfamily	Transporters	0.983	1.003
NM_0003774	ABCB4	Heat shock factor	Transporters	0.652	0.633
NM_0002498	ABCB1	Monoamine transporter	Transporters	0.956	0.873
NM_0008118	GATAD1	Ras family	Signal transducing proteins	0.843	0.885
NM_0005789	PEX1	SNARE family	Transporters	0.539	0.523
NM_0002595	COL1A2	Arf family	Signal transducing proteins	0.061	0.06
NM_0008855	TFR2	Peroxiredoxin	Signal transducing proteins	0.957	1.038
NM_0004393	SERPINE1	SNARE family	Transporters	0.249	0.271
NM_0005851	RELN	Families containing homeobox domains	Regulatory protein gene families	0.447	0.46
NM_0007680	COG5	ABC transporters	Transporters	0.993	1.057
NM_0009884	SLC26A4	SNARE family	Transporters	0.864	0.842
NM_0002737	DLD	G-proteins	Signal transducing proteins	0.276	0.25
NM_0004206	MET	Transcription factors	Regulatory protein gene families	0.194	0.206
NM_0004009	CFTR	Fibroblast growth factor receptors (FGFR)	Transporters	0.426	0.44
NM_0003695	POT1	G-proteins	Signal transducing proteins	0.211	0.193
NM_0002420	LEP	Cyclins	Regulatory protein gene families	0.36	0.348
NM_0002419	FLNC	Glutamate transporter	Transporters	0.801	0.793
NM_0007764	CEP41	Families containing homeobox domains	Regulatory protein gene families	0.679	0.65
NM_0002043	AKR1D1	Serine/threonine-specific protein kinase	Signal transducing proteins	0.813	0.799
NM_0005325	ATP6V0A4	Rap family	Signal transducing proteins	0.254	0.25
NM_0001644	BRAF	Fibroblast growth factors (FGF)	Transporters	0.566	0.596
NM_0009872	PRSS1	P300-CBP coactivator family	Regulatory protein gene families	0.508	0.467
NM_0003552	KEL	Olfactory receptor	Signal transducing proteins	0.185	0.201
NM_0003221	CLCN1	Expansin gene family	Transporters	0.262	0.252
NM_0008450	NOBOX	Protocadherin gene family	Transporters	0.585	0.606
NM_0007886	CNTNAP2	P300-CBP coactivator family	Regulatory protein gene families	0.461	0.487
NM_0009812	EZH2	FH2 protein (formin) gene family	Transporters	0.775	0.801
NM_0003869	KCNH2	Roundabout family	Transporters	0.009	0.009
NM_0006349	PRKAG2	Protocadherin gene family	Transporters	0.307	0.316
NM_0009057	XRCC2	Peroxiredoxin	Signal transducing proteins	0.867	0.924
NM_0005782	SHH	Antiporter	Transporters	0.55	0.538
NM_0005760	DNAJB6	Hox gene family	Regulatory protein gene families	0.434	0.394
NM_0005176	CLN8	General transcription factor	Regulatory protein gene families	0.255	0.249
NM_0007604	BLK	NOTCH2NL	Regulatory protein gene families	0.901	0.823
NM_0003110	GATA4	SOX gene family	Regulatory protein gene families	0.077	0.073
NM_0005948	TUSC3	NF-kB	Regulatory protein gene families	0.85	0.774
NM_0001264	ASAH1	Fibroblast growth factor receptors (FGFR)	Transporters	0.496	0.54
NM_0004044	LPL	Peroxiredoxin	Signal transducing proteins	0.471	0.513
NM_0005824	HR	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.002	0.002
NM_0004882	NEFL	NOTCH2NL	Regulatory protein gene families	0.762	0.704
NM_0005893	CHRNA2	Receptor tyrosine kinases	Signal transducing proteins	0.313	0.319
NM_0001297	ESCO2	Fibroblast growth factors (FGF)	Transporters	0.518	0.508
NM_0004296	WRN	CDK inhibitors	Regulatory protein gene families	0.955	1.036
NM_0001591	DDHD2	NOD-like receptors	Immune system proteins	0.784	0.857
NM_0005677	FGFR1	CDK inhibitors	Regulatory protein gene families	0.375	0.379
NM_0007821	ANK1	Kinesin	Motor proteins	0.793	0.779
NM_0004593	THAP1	NOTCH2NL	Regulatory protein gene families	0.631	0.577
NM_0001865	SGK196	GATA transcription factor	Regulatory protein gene families	0.642	0.695
NM_0008898	MCM4	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.304	0.317
NM_0001246	SOX17	NOD-like receptors	Immune system proteins	0.985	1.067
NM_0004492	RP1	G-proteins	Signal transducing proteins	0.718	0.647
NM_0002771	CHD7	FH2 protein (formin) gene family	Transporters	0.397	0.426
NM_0006812	CYP7B1	GATA transcription factor	Regulatory protein gene families	0.632	0.693
NM_0005707	CPA6	GABA transporter	Transporters	0.416	0.41
NM_0009544	EYA1	NOTCH2NL	Regulatory protein gene families	0.578	0.526
NM_0008243	TMEM70	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.053	0.057
NM_0002639	CA2	Myosin	Motor proteins	0.51	0.474
NM_0004648	CNGB3	14-3-3 protein family	Regulatory protein gene families	0.899	0.875
NM_0005477	NBN	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.783	0.729
NM_0003664	TMEM67	MAP Kinase	Signal transducing proteins	0.756	0.721
NM_0004665	NDUFAF6	Fibroblast growth factor receptors (FGFR)	Transporters	0.994	0.969
NM_0004314	GDF6	Serine/threonine-specific protein kinase	Signal transducing proteins	0.036	0.034
NM_0005513	VPS13B	Olfactory receptor	Signal transducing proteins	0.24	0.26
NM_0009684	SPAG1	SNARE family	Transporters	0.274	0.299
NM_0001305	ZFPM2	POU family	Regulatory protein gene families	0.339	0.327
NM_0005359	TNFRSF11B	RIG-I like receptors	Immune system proteins	0.378	0.36
NM_0002640	KCNQ3	Rab family	Signal transducing proteins	0.86	0.789
NM_0004235	LRRC6	Arf family	Signal transducing proteins	0.311	0.294
NM_0003873	TG	Bacterial potassium transporter	Transporters	0.261	0.271
NM_0009318	NDRG1	Ras family	Signal transducing proteins	0.343	0.359
NM_0002028	KCNK9	Arf family	Signal transducing proteins	0.239	0.232
NM_0002389	CYP11B1	Cyclin dependent kinases	Regulatory protein gene families	0.563	0.617
NM_0008982	CYP11B2	G-proteins	Signal transducing proteins	0.134	0.126
NM_0008355	SLC52A2	P300-CBP coactivator family	Regulatory protein gene families	0.267	0.285
NM_0007679	FOXH1	Cyclin dependent kinases	Regulatory protein gene families	0.206	0.193
NM_0001862	DOCK8	Roundabout family	Transporters	0.157	0.146
NM_0003436	VLDLR	Globin	Transporters	0.17	0.176
NM_0007995	KCNV2	ABC transporters	Transporters	0.138	0.134
NM_0003088	GLIS3	Families containing homeobox domains	Regulatory protein gene families	0.958	0.941
NM_0006064	GLDC	General transcription factor	Regulatory protein gene families	0.309	0.303
NM_0009469	FREM1	Cyclins	Regulatory protein gene families	0.858	0.833
NM_0005242	CDKN2A	Hox gene family	Regulatory protein gene families	0.817	0.852
NM_0004576	TEK	Membrane-spanning 4A	Transporters	0.404	0.375
NM_0008586	TOPORS	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.245	0.257
NM_0009088	DNAI1	Olfactory receptor	Signal transducing proteins	0.251	0.276
NM_0002735	GALT	Rho family	Signal transducing proteins	0.931	1.012
NM_0005280	VCP	GABA transporter	Transporters	0.904	0.914
NM_0001491	FANCG	Olfactory receptor	Signal transducing proteins	0.786	0.719
NM_0002904	TPM2	DLX gene family	Regulatory protein gene families	0.538	0.488
NM_0001127	GNE	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.804	0.768
NM_0001411	EXOSC3	ATCase/OTCase family	Transporters	0.505	0.456
NM_0001594	TJP2	GABA transporter	Transporters	0.739	0.671
NM_0009863	TMC1	Membrane-spanning 4A	Transporters	0.139	0.131
NM_0005952	TRPM6	Neurotransmitter transporter	Transporters	0.685	0.642
NM_0004205	ROR2	Transcription factors	Regulatory protein gene families	0.699	0.678
NM_0002710	SPTLC1	SNARE family	Transporters	0.668	0.731
NM_0001101	BICD2	General transcription factor	Regulatory protein gene families	0.975	0.948
NM_0004355	FBP1	RIG-I like receptors	Immune system proteins	0.436	0.411
NM_0009247	FANCC	Expansin gene family	Transporters	0.392	0.371
NM_0002980	PTCH1	General transcription factor	Regulatory protein gene families	0.736	0.696
NM_0003837	HSD17B3	Dynein	Motor proteins	0.689	0.674
NM_0003279	TDRD7	Non-receptor tyrosine kinase	Signal transducing proteins	0.595	0.63
NM_0006079	ANKS6	Equilibrative nucleoside transporter family	Transporters	0.231	0.236
NM_0001422	GALNT12	Fibroblast growth factors (FGF)	Transporters	0.999	1.021
NM_0005771	TGFBR1	Solute carrier family	Transporters	0.319	0.336
NM_0009786	ALG2	Pattern recognition receptor	Immune system proteins	0.927	0.99
NM_0006613	INVS	SOX gene family	Regulatory protein gene families	0.642	0.633
NM_0008873	BAAT	MADS-box gene family	Regulatory protein gene families	0.108	0.101
NM_0007572	ALDOB	Neurotransmitter transporter	Transporters	0.544	0.589
NM_0003785	ABCA1	MAP Kinase	Signal transducing proteins	0.713	0.7
NM_0006675	FKTN	Monoamine transporter	Transporters	0.56	0.551
NM_0003958	IKBKAP	ATCase/OTCase family	Transporters	0.795	0.716
NM_0003896	MUSK	General transcription factor	Regulatory protein gene families	0.06	0.065
NM_0002689	ALAD	P300-CBP coactivator family	Regulatory protein gene families	0.513	0.555
NM_0008984	COL27A1	Glycine transporter	Transporters	0.557	0.517
NM_0009460	TRIM32	RIG-I like receptors	Immune system proteins	0.785	0.709
NM_0001390	CDK5RAP2	Solute carrier family	Transporters	0.114	0.123
NM_0007891	STXBP1	Kinesin	Motor proteins	0.02	0.022
NM_0001750	ENG	Myosin	Motor proteins	0.761	0.821
NM_0006270	DPM2	Families containing homeobox domains	Regulatory protein gene families	0.631	0.661
NM_0002601	DNM1	Solute carrier family	Transporters	0.34	0.328
NM_0006379	COQ4	Aquaporins	Transporters	0.035	0.036
NM_0002190	GLE1	Fibroblast growth factors (FGF)	Transporters	0.44	0.423
NM_0009947	DOLK	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.763	0.711
NM_0001404	TOR1A	Solute carrier family	Transporters	0.162	0.158
NM_0001759	ASS1	NOTCH2NL	Regulatory protein gene families	0.508	0.52
NM_0004111	POMT1	Papain-like protease	Transporters	0.595	0.63
NM_0007277	SETX	Major histocompatibility complex (MHC)	Immune system proteins	0.826	0.771
NM_0001098	TSC1	Hox gene family	Regulatory protein gene families	0.916	0.944
NM_0003036	SURF1	Janus kinases	Signal transducing proteins	0.269	0.247
NM_0002328	ADAMTS13	CDK inhibitors	Regulatory protein gene families	0.416	0.387
NM_0002113	COL5A1	Solute carrier family	Transporters	0.709	0.745
NM_0008967	CARD9	Roundabout family	Transporters	0.466	0.438
NM_0004140	INPP5E	SOX gene family	Regulatory protein gene families	0.368	0.361
NM_0001030	SLC34A3	Transcription factors	Regulatory protein gene families	0.548	0.508
NM_0003998	EHMT1	Transcription factors	Regulatory protein gene families	0.509	0.547
NM_0002818	DHTKD1	Janus kinases	Signal transducing proteins	0.582	0.607
NM_0008808	PHYH	General transcription factor	Regulatory protein gene families	0.191	0.198
NM_0008490	DCLRE1C	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.576	0.594
NM_0008151	CUBN	Papain-like protease	Transporters	0.568	0.55
NM_0004729	NEBL	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.755	0.702
NM_0007427	MYO3A	GABA transporter	Transporters	0.129	0.124
NM_0006416	MASTL	RIG-I like receptors	Immune system proteins	0.864	0.886
NM_0003212	RAB18	MAP Kinase	Signal transducing proteins	0.526	0.569
NM_0009338	MTPAP	Papain-like protease	Transporters	0.176	0.162
NM_0008465	RET	Expansin gene family	Transporters	0.373	0.368
NM_0008015	RBP3	Serine/threonine-specific protein kinase	Signal transducing proteins	0.291	0.308
NM_0006968	ERCC6	Kinesin	Motor proteins	0.127	0.139
NM_0008700	CHAT	P300-CBP coactivator family	Regulatory protein gene families	0.562	0.587
NM_0003706	PRKG1	Receptor tyrosine kinases	Signal transducing proteins	0.967	0.954
NM_0008872	MBL2	Heat shock proteins	Transporters	0.051	0.056
NM_0004010	PCDH15	Nuclear receptor	Regulatory protein gene families	0.702	0.755
NM_0009993	EGR2	Toll-like receptors	Immune system proteins	0.606	0.596
NM_0005127	MYPN	Antiporter	Transporters	0.133	0.139
NM_0008062	KIAA1279	SNARE family	Transporters	0.723	0.71
NM_0006549	NODAL	Olfactory receptor	Signal transducing proteins	0.252	0.245
NM_0001293	PRF1	Nuclear receptor	Regulatory protein gene families	0.815	0.868
NM_0005292	SLC29A3	Antiporter	Transporters	0.913	1.003
NM_0008591	CHST3	RIG-I like receptors	Immune system proteins	0.685	0.662
NM_0005156	VCL	SOX gene family	Regulatory protein gene families	0.376	0.408
NM_0008173	KAT6B	Peroxin	Transporters	0.432	0.471
NM_0005932	SFTPA1	RIG-I like receptors	Immune system proteins	0.844	0.926
NM_0008504	SFTPD	14-3-3 protein family	Regulatory protein gene families	0.545	0.577
NM_0007065	CDHR1	Immunoglobulin superfamily	Immune system proteins	0.992	0.932
NM_0001015	LDB3	Major facilitator superfamily	Transporters	0.149	0.142
NM_0005880	BMPR1A	Roundabout family	Transporters	0.498	0.526
NM_0005841	GLUD1	14-3-3 protein family	Regulatory protein gene families	0.624	0.614
NM_0002232	PTEN	Cyclin dependent kinases	Regulatory protein gene families	0.714	0.679
NM_0004956	ACTA2	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.088	0.095
NM_0003455	FAS	RIG-I like receptors	Immune system proteins	0.881	0.845
NM_0005005	LIPA	Antiporter	Transporters	0.258	0.265
NM_0003241	ANKRD1	NOD-like receptors	Immune system proteins	0.232	0.21
NM_0003489	PDE6C	Olfactory receptor	Signal transducing proteins	0.723	0.661
NM_0003760	PLCE1	RIG-I like receptors	Immune system proteins	0.027	0.026
NM_0009302	ALDH18A1	NOD-like receptors	Immune system proteins	0.511	0.496
NM_0004536	ZFYVE27	General transcription factor	Regulatory protein gene families	0.097	0.088
NM_0005743	HPS1	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.48	0.514
NM_0007243	ABCC2	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.008	0.009
NM_0008084	CPN1	Cyclins	Regulatory protein gene families	0.476	0.447
NM_0004847	C10orf2	Kinesin	Motor proteins	0.14	0.145
NM_0007018	FGF8	Glycine transporter	Transporters	0.98	1.069
NM_0003387	SUFU	GABA transporter	Transporters	0.546	0.573
NM_0007354	CYP17A1	Serine/threonine-specific protein kinase	Signal transducing proteins	0.381	0.365
NM_0005643	COL17A1	Receptor tyrosine kinases	Signal transducing proteins	0.249	0.241
NM_0005168	BAG3	Globin	Transporters	0.387	0.414
NM_0001495	FGFR2	SNARE family	Transporters	0.174	0.183
NM_0003904	HTRA1	SRC kinase family	Signal transducing proteins	0.17	0.159
NM_0008518	OAT	SRC kinase family	Signal transducing proteins	0.575	0.626
NM_0005183	UROS	Ion channels	Transporters	0.211	0.199
NM_0004027	IFITM5	ABC transporters	Transporters	0.885	0.809
NM_0004325	HRAS	Immunoglobulin superfamily	Immune system proteins	0.135	0.144
NM_0005586	DEAF1	Rho family	Signal transducing proteins	0.044	0.047
NM_0001953	PNPLA2	14-3-3 protein family	Regulatory protein gene families	0.2	0.196
NM_0005934	CTSD	Immunoglobulin superfamily	Immune system proteins	0.68	0.74
NM_0002543	TNNI2	SNARE family	Transporters	0.364	0.334
NM_0005780	TH	Non-receptor tyrosine kinase	Signal transducing proteins	0.259	0.239
NM_0004645	KCNQ1	NOD-like receptors	Immune system proteins	0.977	1.006
NM_0009855	STIM1	Solute carrier family	Transporters	0.734	0.784
NM_0003923	HBB	Olfactory receptor	Signal transducing proteins	0.344	0.361
NM_0001741	TPP1	Glutamate transporter	Transporters	0.825	0.777
NM_0007560	SBF2	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.539	0.59
NM_0003091	ABCC8	Toll-like receptors	Immune system proteins	0.56	0.522
NM_0001993	USH1C	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.546	0.581
NM_0008317	HPS5	Dynein	Motor proteins	0.8	0.867
NM_0005706	CSRP3	CDK inhibitors	Regulatory protein gene families	0.157	0.166
NM_0001482	SLC6A5	Rab family	Signal transducing proteins	0.726	0.686
NM_0009754	ANO5	Expansin gene family	Transporters	0.925	0.975
NM_0009618	FANCF	Heat shock proteins	Transporters	0.273	0.292
NM_0006825	BDNF	Ras family	Signal transducing proteins	0.256	0.27
NM_0007693	PDHX	ATCase/OTCase family	Transporters	0.596	0.575
NM_0006621	RAG1	Hox gene family	Regulatory protein gene families	0.6	0.581
NM_0008490	RAG2	Toll-like receptors	Immune system proteins	0.696	0.71
NM_0004105	EXT2	Fibroblast growth factors (FGF)	Transporters	0.894	0.884
NM_0009950	SLC35C1	Equilibrative nucleoside transporter family	Transporters	0.622	0.589
NM_0008386	PEX16	RIG-I like receptors	Immune system proteins	0.256	0.261
NM_0009203	F2	CDK inhibitors	Regulatory protein gene families	0.205	0.216
