scientific_name;common_name;meaning;diet;length_m;weight_kg;height_m;locomotion;period;lived_in;behavior_notes;first_discovered;fossil_location;notable_features;intelligence_level;source_link;row_index
Altispinax;Altispinax;high spine;Carnivore;8.0;2000.0;3.0;Bipedal;Early Cretaceous;Europe (England);Likely predator;;;;;;
Alwalkeria;Alwalkeria;Alwalk's creature;Omnivore;1.5;5.0;0.6;Bipedal;Triassic;Asia (India);Early dinosaur;;;;;;
Alxasaurus;Alxasaurus;Alxa lizard;Omnivore;4.0;400.0;2.0;Bipedal;Early Cretaceous;Asia (Inner Mongolia, China);Therizinosauroid with long claws and likely feathered;1993;Bayin-Gobi Formation, Inner Mongolia;Long claws, small head, herbivorous traits in theropod;High;https://en.wikipedia.org/wiki/Alxasaurus;358
Amargatitanis;Amargatitanis;Amarga giant;Herbivore;12.0;10000.0;5.0;Quadrupedal;Early Cretaceous;South America (Argentina);Titanosaurid sauropod;;;;;;
Amazonsaurus;Amazonsaurus;Amazon lizard;Herbivore;12.0;5000.0;4.0;Quadrupedal;Early Cretaceous;South America (Brazil);Basal rebbachisaurid sauropod from Amazon Basin;2003;Itapecuru Formation, Brazil;Lightweight build;;;
Amphicoelias;Amphicoelias;double hollow;Herbivore;;;;Quadrupedal;Late Jurassic;North America (Colorado, USA);Possibly the longest dinosaur ever;;;;;;
Amtocephale;Amtocephale;Amto head;Herbivore;1.5;20.0;0.7;Bipedal;Late Cretaceous;Asia (Mongolia);Pachycephalosaurid;;;;;;
Amtosaurus;Amtosaurus;Amto lizard;Herbivore;5.0;1000.0;2.0;Bipedal?;Late Cretaceous;Asia (Mongolia);Poorly known;;;;;;
Amurosaurus;Amurosaurus;Amur lizard;Herbivore;6.0;3000.0;3.0;Quadrupedal;Late Cretaceous;Asia (Russia);Lambeosaurine hadrosaur with cranial crest;1991;Blagoveschensk, Russia;Well-preserved skull;;;
Anabisetia;Anabisetia;named after Ana Biset;Herbivore;2.0;40.0;1.0;Bipedal;Late Cretaceous;South America (Argentina);Small agile ornithopod from Patagonia;2002;Cinco Saltos, Argentina;Long legs;;;
Anasazisaurus;Anasazisaurus;Anasazi lizard;Herbivore;9.0;3000.0;3.0;Quadrupedal;Late Cretaceous;North America (New Mexico, USA);Hadrosaurid with raised nasal crest;1993;Kirtland Formation, New Mexico;Crested skull;;;
Anatosaurus;Anatosaurus;duck lizard;Herbivore;10.0;4000.0;3.5;Quadrupedal;Late Cretaceous;North America (USA);Hadrosaurid with broad duck-like beak;1942 (now synonymized with Edmontosaurus);Hell Creek Formation, USA;Broad flat snout;;;
Anatotitan;Anatotitan;giant duck;Herbivore;12.0;5000.0;4.0;Quadrupedal;Late Cretaceous;North America (USA);Large hadrosaurid;;;;;;
Andesaurus;Andesaurus;lizard from the Andes;Herbivore;15.0;6000.0;5.0;Quadrupedal;Early Cretaceous;South America (Argentina);Titanosaur sauropod with primitive features;1991;Cerro Barcino Formation, Argentina;Massive size;;;
Angaturama;Angaturama;"(possibly ""noble spirit"")";Carnivore;6.0;1000.0;2.5;Bipedal;Early Cretaceous;South America (Brazil);Spinosaurid with long snout and conical teeth;1996;Santana Formation, Brazil;Closely related to Irritator;;;
Angolatitan;Angolatitan;giant from Angola;Herbivore;13.0;5000.0;5.0;Quadrupedal;Late Cretaceous;Africa (Angola);Early titanosauriform;;;;;;
Angulomastacator;Angulomastacator;bent chewer;Herbivore;4.5;800.0;1.5;Quadrupedal;Late Cretaceous;North America (Texas, USA);Hadrosaurid with unusual curved jaw;2007;Aguja Formation, Texas;Unique downward-curving maxilla;Medium;https://en.wikipedia.org/wiki/Angulomastacator;372
Aniksosaurus;Aniksosaurus;unequal lizard;Carnivore;2.0;25.0;0.8;Bipedal;Late Cretaceous;South America (Argentina);Small coelurosaur;;;;;;
Animantarx;Animantarx;living fortress;Herbivore;3.0;300.0;1.5;Quadrupedal;Late Cretaceous;North America (Utah, USA);Nodosaurid;;;;;;
Anodontosaurus;Anodontosaurus;toothless lizard;Herbivore;6.0;2500.0;2.0;Quadrupedal;Late Cretaceous;North America (Canada);Ankylosaurid with tail club and heavy armor;1929 (reclassified later);Horseshoe Canyon Formation, Alberta;Tail club with unique structure;;;
Anoplosaurus;Anoplosaurus;unarmored lizard;Herbivore;4.0;300.0;1.2;Quadrupedal;Early Cretaceous;Europe (England);Possibly a nodosaurid lacking armor;1879;Cambridge Greensand, England;Known from juvenile remains;;;
Antarctopelta;Antarctopelta;Antarctic shield;Herbivore;4.0;400.0;1.5;Quadrupedal;Late Cretaceous;Antarctica;First dinosaur discovered in Antarctica;1986 (named in 2006);James Ross Island, Antarctica;Armored body;;;
Antetonitrus;Antetonitrus;before thunder;Herbivore;10.0;5000.0;4.5;Quadrupedal;Triassic;Africa (South Africa);Early sauropodomorph;;;;;;
Antrodemus;Antrodemus;chambered body;Carnivore;9.0;2000.0;3.0;Bipedal;Late Jurassic;North America (USA);Possibly a synonym of Allosaurus;1870;Morrison Formation, Colorado;Single vertebra;;;
Anzu;Anzu;feathered demon;Omnivore;3.5;200.0;1.8;Bipedal;Late Cretaceous;North America (South Dakota, USA);Oviraptorosaur with crest and claws;2014;Hell Creek Formation, South Dakota;Crested head, long arms, birdlike body;High;https://en.wikipedia.org/wiki/Anzu_wyliei;380
Aoniraptor;Aoniraptor;Aoni raptor;Carnivore;6.0;700.0;2.0;Bipedal;Late Cretaceous;South America (Argentina);Megaraptoran theropod with long neural spines;2016;Huincul Formation, Argentina;Closely related to Gualicho;;;
Aorun;Aorun;Aorun (Chinese dragon);Carnivore;1.0;3.0;0.5;Bipedal;Jurassic;Asia (China);Small basal coelurosaur;;;;;;
Apatodon;Apatodon;deceptive tooth;Unknown;;;;Unknown;Late Cretaceous;North America (USA);Very poorly known;;;;;;
Appalachiosaurus;Appalachiosaurus;Appalachian lizard;Carnivore;7.5;1500.0;2.5;Bipedal;Late Cretaceous;North America (Alabama, USA);Tyrannosauroid;;;;;;
Aquilarhinus;Aquilarhinus;eagle snout;Herbivore;6.0;3000.0;2.5;Quadrupedal;Late Cretaceous;North America (Texas, USA);Primitive hadrosaur with unique curved beak;2019;Blufftown Formation, Texas;Beak resembles eagle's;;;
Archaeodontosaurus;Archaeodontosaurus;ancient toothed lizard;Herbivore;8.0;2000.0;3.0;Quadrupedal;Middle Jurassic;Africa (Madagascar);Basal sauropod with primitive teeth;2005;Isalo III Formation, Madagascar;Teeth resemble prosauropods;;;
Archaeornithoides;Archaeornithoides;ancient bird-like form;Carnivore;0.5;1.5;0.3;Bipedal;Late Cretaceous;Asia (Mongolia);Small troodontid or dromaeosaurid;1992;Djadochta Formation, Mongolia;Partial skull;;;
Arcovenator;Arcovenator;arc hunter;Carnivore;5.0;700.0;2.0;Bipedal;Late Cretaceous;Europe (France);Abelisaurid from Europe;2013;Rognacian Formation, Provence, France;Closely related to Majungasaurus and Carnotaurus;Medium;https://en.wikipedia.org/wiki/Arcovenator;388
Arcusaurus;Arcusaurus;rainbow lizard;Herbivore;3.0;250.0;1.5;Quadrupedal;Triassic;Africa (South Africa);Basal sauropodomorph with transitional features;2011;Elliot Formation, South Africa;Small for a sauropodomorph;;;
Arenysaurus;Arenysaurus;Areny lizard;Herbivore;5.0;2000.0;2.5;Quadrupedal;Late Cretaceous;Europe (Spain);Lambeosaurine hadrosaur;;;;;;
Argyrosaurus;Argyrosaurus;silver lizard;Herbivore;20.0;15000.0;6.0;Quadrupedal;Late Cretaceous;South America (Argentina);Large titanosaur sauropod with massive size;1893;Argentina;Very long tail and neck;;;
Aristosuchus;Aristosuchus;noble crocodile;Carnivore;2.0;30.0;0.8;Bipedal;Early Cretaceous;Europe (England);Small coelurosaur theropod;1876;Wessex Formation, Isle of Wight;Lightweight build;;;
Arkansaurus;Arkansaurus;Arkansas lizard;Carnivore;4.0;200.0;1.5;Bipedal;Early Cretaceous;North America (Arkansas, USA);Primitive ornithomimosaur;;;;;;
Arkharavia;Arkharavia;Arkhar River;Herbivore;7.0;2500.0;3.0;Quadrupedal;Late Cretaceous;Asia (Russia);Possibly a titanosaur or hadrosaur;;;;;;
Arstanosaurus;Arstanosaurus;Arstan lizard;Herbivore;5.0;1500.0;2.0;Quadrupedal;Late Cretaceous;Asia (Kazakhstan);Hadrosaurid or ceratopsian;;;;;;
Asiaceratops;Asiaceratops;Asian horned face;Herbivore;1.0;25.0;0.6;Quadrupedal;Early Cretaceous;Asia (Uzbekistan, Mongolia);One of the earliest known ceratopsians;1989;Dzharakuduk Formation, Uzbekistan;Small and primitive;;;
Asiatosaurus;Asiatosaurus;Asian lizard;Herbivore;15.0;12000.0;5.5;Quadrupedal;Early Cretaceous;Asia (China, Mongolia);Early sauropod;;;;;;
Astrodon;Astrodon;star tooth;Herbivore;15.0;10000.0;5.0;Quadrupedal;Early Cretaceous;North America (Maryland, USA);State dinosaur of Maryland;;;;;;
Astrophocaudia;Astrophocaudia;star tail;Herbivore;16.0;14000.0;6.0;Quadrupedal;Early Cretaceous;North America (Texas, USA);Titanosauriform sauropod with long tail;2012;Trinity Group, Texas;Closely related to Sauroposeidon;Low;https://en.wikipedia.org/wiki/Astrophocaudia;399
Asylosaurus;Asylosaurus;unharmed lizard;Herbivore;2.0;40.0;1.0;Bipedal;Triassic;Europe (England);Basal sauropodomorph;;;;;;
Atacamatitan;Atacamatitan;Atacama giant;Herbivore;10.0;6000.0;4.0;Quadrupedal;Late Cretaceous;South America (Chile);First sauropod discovered in Chile;2011;Atacama Desert, Chile;Limited remains;;;
Atlantosaurus;Atlantosaurus;Atlas lizard;Herbivore;18.0;15000.0;6.0;Quadrupedal;Late Jurassic;North America (Colorado, USA);One of the first sauropods named in the U.S.;1877;Morrison Formation, Colorado;Possibly synonymous with Apatosaurus;Low;https://en.wikipedia.org/wiki/Atlantosaurus;402
Atlasaurus;Atlasaurus;Atlas Mountains lizard;Herbivore;15.0;22000.0;5.0;Quadrupedal;Middle Jurassic;Africa (Morocco);Early sauropod with long forelimbs;1999;Tiouraren Formation, Morocco;Unusual limb proportions;;;
Atsinganosaurus;Atsinganosaurus;gypsy lizard;Herbivore;8.0;3500.0;3.0;Quadrupedal;Late Cretaceous;Europe (France);Titanosaurid sauropod from southern France;2010;Villalbes Formation, France;One of few European titanosaurs;;;
Aublysodon;Aublysodon;blunt tooth;Carnivore;6.0;800.0;2.0;Bipedal;Late Cretaceous;North America (USA);Poorly known theropod;;;;;;
Augustynolophus;Augustynolophus;Augustyn's crested lizard;Herbivore;9.0;3500.0;3.5;Quadrupedal;Late Cretaceous;North America (California, USA);Lambeosaurine hadrosaur with nasal crest;2014;Mount Diablo Formation, California;State dinosaur of California;;;
Auroraceratops;Auroraceratops;dawn horned face;Herbivore;1.2;20.0;0.7;Quadrupedal;Early Cretaceous;Asia (China);Basal ceratopsian with short frill;2005;Yellow Cat Member, Gansu, China;Small and early relative of Triceratops;Low;https://en.wikipedia.org/wiki/Auroraceratops;407
Aurornis;Aurornis;dawn bird;Carnivore;0.5;1.5;0.3;Bipedal;Jurassic;Asia (China);Early avialan;;;;;;
Australodocus;Australodocus;southern beam;Herbivore;15.0;12000.0;5.5;Quadrupedal;Late Jurassic;Africa (Tanzania);Diplodocoid sauropod with long neck;2007;Tendaguru Formation, Tanzania;Tall neural spines;;;
Australovenator;Australovenator;southern hunter;Carnivore;6.0;500.0;2.0;Bipedal;Cretaceous;Australia;Allosaurid-like predator;;;;;;
Austrocheirus;Austrocheirus;southern hand;Carnivore;5.0;400.0;1.8;Bipedal;Late Cretaceous;South America (Argentina);Theropod with unusual hand bones;2009;Chorrillo Formation, Argentina;Poorly known;;;
Austroraptor;Austroraptor;southern thief;Carnivore;6.0;300.0;1.8;Bipedal;Late Cretaceous;South America (Argentina);Large dromaeosaurid with reduced arms;2008;Bajo de Santa Rosa, Argentina;Teeth resemble fish eaters;;;
Aviatyrannis;Aviatyrannis;tyrant grandmother;Carnivore;1.0;5.0;0.5;Bipedal;Late Jurassic;Europe (Portugal);Early tyrannosauroid;;;;;;
Bactrosaurus?;Bactrosaurus;club lizard;Herbivore;6.0;1500.0;2.5;Quadrupedal;Late Cretaceous;Asia (China, Mongolia);Early hadrosauroid;;;;;;
Bagaraatan;Bagaraatan;small hunter;Carnivore;3.0;100.0;1.2;Bipedal;Late Cretaceous;Asia (Mongolia);Theropod of uncertain placement;;;;;;
Bahariasaurus;Bahariasaurus;Bahariya lizard;Carnivore;11.0;4000.0;3.5;Bipedal;Late Cretaceous;Africa (Egypt);Large theropod, possibly a carcharodontosaurid;1934;Bahariya Formation, Egypt;Fossils destroyed in WWII;;;
Bainoceratops;Bainoceratops;Bain's horned face;Herbivore;2.0;100.0;1.0;Quadrupedal;Late Cretaceous;Asia (Mongolia);Ceratopsian;;;;;;
Bajadasaurus;Bajadasaurus;Bajada lizard;Herbivore;9.0;3500.0;3.5;Quadrupedal;Early Cretaceous;South America (Argentina);Dicraeosaurid with long forward-curving neck spines;2019;Bajada Colorada Formation, Argentina;Neck spines likely defensive;;;
Bakesaurus;Bakesaurus;Unknown;Unknown;;;;Unknown;;Unknown;Name listed in some databases;;;;;;
Balaur;Balaur;dragon;Carnivore;2.0;40.0;1.0;Bipedal;Late Cretaceous;Europe (Romania);Unusual dromaeosaur with double sickle claws;2010;Hațeg Basin, Romania;Possibly secondarily flightless avialan;High;https://en.wikipedia.org/wiki/Balaur;420
Balochisaurus;Balochisaurus;Balochistan lizard;Herbivore;10.0;6000.0;4.0;Quadrupedal;Late Cretaceous;Asia (Pakistan);Titanosaurian sauropod from Indo-Pakistan region;2006;Vitakri Formation, Balochistan;Discovered with Sulaimanisaurus;;;
Banji;Banji;striped (from Mandarin);Carnivore;0.6;1.5;0.4;Bipedal;Late Cretaceous;Asia (China);Small oviraptorid with crest;2010;Nanxiong Formation, Jiangxi, China;Slender jaws;;;
Baotianmansaurus;Baotianmansaurus;Baotianman lizard;Herbivore;12.0;8000.0;4.5;Quadrupedal;Late Cretaceous;Asia (China);Titanosaur sauropod from central China;2009;Baotianman area, Henan Province;Vertebrae and limb bones;;;
Barilium;Barilium;heavy ilium;Herbivore;8.0;3000.0;3.0;Quadrupedal;Early Cretaceous;Europe (England);Iguanodontian dinosaur;;;;;;
Barrosasaurus;Barrosasaurus;Barrosa lizard;Herbivore;15.0;10000.0;5.0;Quadrupedal;Late Cretaceous;South America (Argentina);Titanosaur sauropod discovered in Patagonia;2009;Sierra Barrosa, Neuquén Province;Known from dorsal vertebrae;;;
Barsboldia;Barsboldia;Barsbold’s [dinosaur];Herbivore;10.0;5000.0;4.0;Quadrupedal;Late Cretaceous;Asia (Mongolia);Hadrosaurid with tall neural spines;1981;Nemegt Formation, Mongolia;Possibly used for display or thermoregulation;Medium;https://en.wikipedia.org/wiki/Barsboldia;426
Batyrosaurus;Batyrosaurus;Batyra lizard;Herbivore;5.0;1800.0;2.5;Quadrupedal;Late Cretaceous;Asia (Kazakhstan);Basal hadrosauroid with transitional traits;2012;Bostobe Formation, Kazakhstan;Skull shows early development of duckbill shape;Medium;https://en.wikipedia.org/wiki/Batyrosaurus;427
Baurutitan;Baurutitan;Bauru titan;Herbivore;14.0;9000.0;4.5;Quadrupedal;Late Cretaceous;South America (Brazil);Titanosaur sauropod named after Bauru Basin;2005;Serra da Galga Formation, Brazil;Known from vertebrae;;;
Bayosaurus;Bayosaurus;Bayyo lizard;Carnivore;2.5;30.0;1.0;Bipedal;Late Cretaceous;South America (Argentina);Small coelurosaur;;;;;;
Beelemodon;Beelemodon;Unknown;Unknown;;;;Unknown;;Unknown;Possibly a fictitious or misattributed name;Unknown;Unknown;No valid paleontological record found;Unknown;https://dino.fandom.com/wiki/Beelemodon;430
Beishanlong;Beishanlong;Beishan dragon;Omnivore;8.0;600.0;2.5;Bipedal;Early Cretaceous;Asia (China);Large ornithomimosaur;;;;;;
Berberosaurus;Berberosaurus;Berber lizard;Carnivore;5.0;400.0;2.0;Bipedal;Early Jurassic;Africa (Morocco);Early theropod;;;;;;
Betasuchus;Betasuchus;Beta crocodile;Carnivore;4.0;250.0;1.5;Bipedal;Late Cretaceous;Europe (Netherlands);Poorly known theropod;;;;;;
Bicentenaria;Bicentenaria;bicentennial [lizard];Carnivore;2.5;20.0;0.9;Bipedal;Late Cretaceous;South America (Argentina);Basal coelurosaur;;;;;;
Bienosaurus;Bienosaurus;Bien’s lizard;Herbivore;;;;Bipedal;Early Jurassic;Asia (China);Fragmentary thyreophoran;;;;;;
Bihariosaurus;Bihariosaurus;Bihor lizard;Unknown;;;;Bipedal;Late Cretaceous;Europe (Romania);Poorly known genus;;;;;;
Bissektipelta;Bissektipelta;Bissekty shield;Herbivore;5.0;1200.0;1.5;Quadrupedal;Late Cretaceous;Asia (Uzbekistan);Ankylosaur;;;;;;
Bistahieversor;Bistahieversor;Bisti destroyer;Carnivore;9.0;2500.0;3.0;Bipedal;Late Cretaceous;North America (New Mexico, USA);Early tyrannosaurid;;;;;;
Blasisaurus;Blasisaurus;Blasi lizard;Herbivore;6.0;1800.0;2.5;Quadrupedal;Late Cretaceous;Europe (Spain);Lambeosaurine hadrosaur with distinct skull features;2010;Blasi site, Arén Formation, Spain;Closely related to Arenysaurus;;;
Blikanasaurus;Blikanasaurus;Blikana lizard;Herbivore;6.0;1200.0;2.5;Bipedal;Triassic;Africa (South Africa);Basal sauropodomorph;;;;;;
Bolong;Bolong;Bo dragon;Herbivore;4.0;700.0;1.8;Quadrupedal;Early Cretaceous;Asia (China);Basal hadrosauroid with primitive features;2010;Yixian Formation, Hebei Province;Well-preserved skeleton;;;
Bonapartenykus;Bonapartenykus;Bonaparte’s claw;Omnivore;2.0;25.0;1.0;Bipedal;Late Cretaceous;South America (Argentina);Alvarezsaurid with associated eggs;2012;Allen Formation, Río Negro, Argentina;One of the few theropods found with fossil eggs;High;https://en.wikipedia.org/wiki/Bonapartenykus;442
Bonatitan;Bonatitan;Bonaparte's titan;Herbivore;10.0;7000.0;4.0;Quadrupedal;Late Cretaceous;South America (Argentina);Titanosaur sauropod;;;;;;
Bonitasaura;Bonitasaura;Bonita lizard;Herbivore;10.0;6000.0;3.5;Quadrupedal;Late Cretaceous;South America (Argentina);Titanosaur with unusual jaw shape;2004;Anacleto Formation, Patagonia;Lower jaw with beak-like tip and rear teeth;Low;https://en.wikipedia.org/wiki/Bonitasaura;444
Borealosaurus;Borealosaurus;Northern lizard;Herbivore;15.0;10000.0;4.5;Quadrupedal;Late Cretaceous;Asia (China);Titanosauriform;;;;;;
Bothriospondylus;Bothriospondylus;excavated vertebra;Herbivore;15.0;11000.0;4.5;Quadrupedal;Jurassic;Europe (England, France);Sauropod of uncertain classification;;;;;;
Brachyceratops;Brachyceratops;short horned face;Herbivore;2.0;150.0;1.0;Quadrupedal;Late Cretaceous;North America (Montana, USA);Juvenile ceratopsian;;;;;;
Brachypodosaurus;Brachypodosaurus;short-footed lizard;Unknown;;;;Unknown;Late Cretaceous;Asia (India);Poorly known;;;;;;
Bradycneme;Bradycneme;slow leg;Carnivore;2.0;15.0;0.8;Bipedal;Late Cretaceous;Europe (Romania);Possibly a bird or small theropod;1975;Sânpetru Beds, Hațeg Basin;Only partial leg bones known;;;
Brasilotitan;Brasilotitan;Brazil titan;Herbivore;14.0;9000.0;4.5;Quadrupedal;Late Cretaceous;South America (Brazil);Titanosaurid sauropod with unique vertebrae;2013;Adamantina Formation, São Paulo;Possesses notched jaw and distinct vertebrae features;Low;https://en.wikipedia.org/wiki/Brasilotitan;450
Bravoceratops;Bravoceratops;wild horned face;Herbivore;6.0;2000.0;2.5;Quadrupedal;Late Cretaceous;North America (Texas, USA);Chasmosaurine ceratopsid;;;;;;
Breviceratops;Breviceratops;short horned face;Herbivore;1.5;70.0;0.8;Quadrupedal;Late Cretaceous;Asia (Mongolia);Small protoceratopsid;;;;;;
Brohisaurus;Brohisaurus;Brohi lizard;Herbivore;15.0;12000.0;5.0;Quadrupedal;Late Jurassic;Asia (Pakistan);Basal titanosauriform;;;;;;
Brontomerus;Brontomerus;thunder thighs;Herbivore;14.0;12000.0;4.5;Quadrupedal;Early Cretaceous;North America (Utah, USA);Macronarian sauropod with large thigh muscles;2011;Cedar Mountain Formation, Utah;Hip structure suggests powerful leg muscles;Low;https://en.wikipedia.org/wiki/Brontomerus;454
Brontosaurus;Brontosaurus;thunder lizard;Herbivore;22.0;15000.0;6.0;Quadrupedal;Late Jurassic;North America (USA);Famous diplodocid;;;;;;
Bruhathkayosaurus;Bruhathkayosaurus;huge-bodied lizard;Herbivore;;;;Quadrupedal;Late Cretaceous;Asia (India);One of the largest sauropods;;;;;;
Burianosaurus;Burianosaurus;Burian’s lizard;Herbivore;3.5;200.0;1.3;Bipedal;Late Cretaceous;Europe (Czech Republic);Basal ornithopod named after Czech artist Z. Burian;2017;Peruc-Korycany Formation;Femur and partial limb remains;;;
Byronosaurus;Byronosaurus;Byron’s lizard;Carnivore;1.5;10.0;0.7;Bipedal;Late Cretaceous;Asia (Mongolia);Troodontid with good eyesight and sharp teeth;2000;Djadokhta Formation, Mongolia;No serrated teeth;;;
Caenagnathasia;Caenagnathasia;recent jaw from Asia;Omnivore;0.8;3.0;0.5;Bipedal;Late Cretaceous;Asia (Uzbekistan);Tiny oviraptorosaur;;;;;;
Calamosaurus;Calamosaurus;reed lizard;Carnivore;3.5;60.0;1.2;Bipedal;Early Cretaceous;Europe (England);Poorly known coelurosaur from fragmentary remains;1891;Wealden Group, Isle of Wight;Long slender bones;;;
Calamospondylus;Calamospondylus;reed vertebra;Carnivore;3.0;50.0;1.0;Bipedal;Early Cretaceous;Europe (England);Theropod of uncertain identity;;;;;;
Callovosaurus;Callovosaurus;Callovian lizard;Herbivore;4.0;300.0;1.5;Bipedal;Middle Jurassic;Europe (England);Basal iguanodontian from Oxford Clay;1889;Oxford Clay Formation, England;Reassigned from Camptosaurus;;;
Camarillasaurus;Camarillasaurus;Camarillas lizard;Carnivore;4.5;400.0;2.0;Bipedal;Early Cretaceous;Europe (Spain);Theropod of uncertain classification;;;;;;
Camelotia;Camelotia;from Camelot;Herbivore;10.0;2000.0;3.5;Quadrupedal;Late Triassic;Europe (England);Basal sauropodomorph;;;;;;
Camposaurus;Camposaurus;Field lizard;Carnivore;3.0;60.0;1.2;Bipedal;Late Triassic;North America (Arizona, USA);Earliest known neotheropod;1998;Bluewater Creek Formation, Arizona;Closely related to Coelophysis;;;
Campylodoniscus;Campylodoniscus;bent tooth;Herbivore;15.0;12000.0;4.5;Quadrupedal;Late Cretaceous;South America (Argentina);Poorly known titanosaur;;;;;;
Canardia;Canardia;duck-like;Herbivore;7.5;2500.0;3.0;Quadrupedal;Late Cretaceous;Europe (France, Spain);Lambeosaurine hadrosaur;;;;;;
Capitalsaurus;Capitalsaurus;capital lizard;Carnivore;8.0;2000.0;3.0;Bipedal;Early Cretaceous;North America (Washington, D.C., USA);Theropod known from a single vertebra;;;;;;
Cardiodon;Cardiodon;heart tooth;Herbivore;15.0;10000.0;4.5;Quadrupedal;Middle Jurassic;Europe (England);Sauropod known from a single tooth;1841;Forest Marble Formation, England;One of the earliest named dinosaurs;Low;https://en.wikipedia.org/wiki/Cardiodon;469
Caseosaurus;Caseosaurus;Case's lizard;Omnivore;2.0;20.0;0.8;Bipedal;Late Triassic;North America (Texas, USA);Possibly an early saurischian or herrerasaurid;1998;Tecovas Formation, Texas;Known from ilium;;;
Cathartesaura;Cathartesaura;vulture lizard;Herbivore;12.0;7000.0;4.0;Quadrupedal;Late Cretaceous;South America (Argentina);Rebbachisaurid sauropod with hollow vertebrae;2005;Huincul Formation, Patagonia;Lightweight build;;;
Cathetosaurus;Cathetosaurus;vertical lizard;Herbivore;20.0;15000.0;5.5;Quadrupedal;Late Jurassic;North America (Utah, USA);Diplodocid sauropod;;;;;;
Cedarosaurus;Cedarosaurus;Cedar lizard;Herbivore;15.0;10000.0;4.0;Quadrupedal;Early Cretaceous;North America (Utah, USA);Titanosauriform sauropod with robust limb bones;1999;Cedar Mountain Formation, Utah;Light vertebrae;;;
Cedrorestes;Cedrorestes;Cedar Mountain dweller;Herbivore;6.0;1500.0;2.5;Bipedal/Early Quadrupedal;Early Cretaceous;North America (Utah, USA);Basal iguanodontian with lambeosaur features;2007;Cedar Mountain Formation, Utah;Mixture of iguanodont and hadrosaur traits;Medium;https://en.wikipedia.org/wiki/Cedrorestes;474
Centrosaurinae;Centrosaurinae;short-frilled ceratopsids;Herbivore;;;;Quadrupedal;Late Cretaceous;North America (Canada, USA);Subfamily of ceratopsids with short frills and large nasal horns;Defined 1915;Various (e.g., Dinosaur Park Formation);Includes Centrosaurus, Styracosaurus, etc.;Medium;https://en.wikipedia.org/wiki/Centrosaurinae;475
Cerapoda;Cerapoda;horned feet;Herbivore;;;;Varies;Late Jurassic;Global (mainly Laurasia);Clade including Ornithopoda, Pachycephalosauria, and Ceratopsia;Defined 1986;Global fossil record;Includes diverse herbivorous forms;Medium;https://en.wikipedia.org/wiki/Cerapoda;476
Cerasinops;Cerasinops;cherry face;Herbivore;1.2;15.0;0.6;Quadrupedal/Bipedal;Late Cretaceous;North America (Montana, USA);Small basal ceratopsian;;;;;;
Ceratonykus;Ceratonykus;horned claw;Omnivore;1.0;5.0;0.5;Bipedal;Late Cretaceous;Asia (Mongolia);Alvarezsaurid theropod with birdlike traits;2009;Djadochta Formation, Mongolia;Short arms with large claws;;;
Ceratops;Ceratops;horned face;Herbivore;6.0;2500.0;2.5;Quadrupedal;Late Cretaceous;North America (Wyoming, USA);Early-discovered ceratopsid;;;;;;
Changchunsaurus;Changchunsaurus;Changchun lizard;Herbivore;1.5;30.0;0.8;Bipedal;Early Cretaceous;Asia (China);Basal ornithopod with long jaw and primitive teeth;2005;Liujitun Formation, Jilin Province;Important for ornithopod evolution in Asia;Medium;https://en.wikipedia.org/wiki/Changchunsaurus;480
Changdusaurus;Changdusaurus;Changdu lizard;Unknown;;;;Unknown;Jurassic;Asia (Tibet, China);Poorly known;;;;;;
Changyuraptor;Changyuraptor;long-feathered thief;Carnivore;1.3;4.0;0.5;Bipedal;Early Cretaceous;Asia (China);Microraptorine dromaeosaurid with long tail feathers;2014;Yixian Formation, Liaoning Province;Well-preserved feathers;;;
Charonosaurus;Charonosaurus;Charon lizard;Herbivore;10.0;4000.0;4.0;Quadrupedal;Late Cretaceous;Asia (China);Lambeosaurine hadrosaur with large cranial crest;2000;Yuliangze Formation, Heilongjiang, China;Crest similar to Parasaurolophus;;;
Chasmosaurinae;Chasmosaurinae;opening lizards;Herbivore;;;;Quadrupedal;Late Cretaceous;North America (USA, Canada, Mexico);Subfamily of ceratopsids with long frills and small nasal horns;Defined 1915;Various formations (e.g., Kirtland, Dinosaur Park);Includes Triceratops, Chasmosaurus, etc.;Medium;https://en.wikipedia.org/wiki/Chasmosaurinae;484
Chebsaurus;Chebsaurus;Cheb lizard;Herbivore;8.0;4000.0;3.5;Quadrupedal;Middle Jurassic;Africa (Algeria);Macronarian sauropod;;;;;;
Chenanisaurus;Chenanisaurus;Chennai lizard;Carnivore;4.0;800.0;1.5;Bipedal;Late Cretaceous;Africa (Morocco);Abelisaurid theropod;;;;;;
Chialingosaurus;Chialingosaurus;Chialing lizard;Herbivore;4.0;800.0;1.5;Quadrupedal;Late Jurassic;Asia (China);Early stegosaurid with slender build;1957;Upper Shaximiao Formation, Sichuan;Among earliest stegosaurs;;;
Chiayusaurus;Chiayusaurus;Chiayu lizard;Herbivore;15.0;12000.0;5.0;Quadrupedal;Late Cretaceous;Asia (China);Poorly known sauropod from tooth remains;1939;Unknown locality, China;Tooth similar to Camarasaurus;;;
